playerName,runs,year,home,against
SPD Smith,0,2017,Australia,Pakistan
DA Warner,7,2017,Australia,Pakistan
SPD Smith,60,2017,Australia,Pakistan
DA Warner,16,2017,Australia,Pakistan
SPD Smith,108,2017,Australia,Pakistan
DA Warner,35,2017,Australia,Pakistan
SPD Smith,49,2017,Australia,Pakistan
DA Warner,130,2017,Australia,Pakistan
SPD Smith,4,2017,Australia,Pakistan
DA Warner,179,2017,Australia,Pakistan
SPD Smith,164,2016,Australia,New Zealand
GJ Bailey,17,2016,Australia,New Zealand
AJ Finch,0,2016,Australia,New Zealand
DA Warner,24,2016,Australia,New Zealand
SPD Smith,72,2016,Australia,New Zealand
GJ Bailey,0,2016,Australia,New Zealand
AJ Finch,19,2016,Australia,New Zealand
DA Warner,119,2016,Australia,New Zealand
SPD Smith,0,2016,Australia,New Zealand
GJ Bailey,23,2016,Australia,New Zealand
AJ Finch,3,2016,Australia,New Zealand
DA Warner,156,2016,Australia,New Zealand
AJ Finch,4,2017,Australia,New Zealand
AJ Finch,56,2017,Australia,New Zealand
MEK Hussey,73,2006,Australia,South Africa
MJ Clarke,8,2006,Australia,South Africa
RT Ponting,33,2006,Australia,South Africa
BJ Haddin,1,2006,Australia,South Africa
MJ Clarke,34,2006,Australia,South Africa
RT Ponting,9,2006,Australia,South Africa
MEK Hussey,18,2006,Australia,South Africa
MEK Hussey,62,2006,Australia,South Africa
MJ Clarke,1,2006,Australia,South Africa
RT Ponting,53,2006,Australia,South Africa
MEK Hussey,47,2006,Australia,South Africa
MJ Clarke,27,2006,Australia,South Africa
RT Ponting,72,2006,Australia,South Africa
MJ Clarke,67,2006,Australia,Sri Lanka
MEK Hussey,0,2006,Australia,Sri Lanka
RT Ponting,13,2006,Australia,Sri Lanka
BJ Haddin,41,2006,Australia,Sri Lanka
MJ Clarke,16,2006,Australia,Sri Lanka
MEK Hussey,25,2006,Australia,Sri Lanka
MJ Clarke,9,2006,Australia,Sri Lanka
MEK Hussey,16,2006,Australia,Sri Lanka
MJ Clarke,80,2006,Australia,Sri Lanka
MEK Hussey,23,2006,Australia,Sri Lanka
MJ Clarke,54,2006,Australia,Sri Lanka
RT Ponting,124,2006,Australia,Sri Lanka
RT Ponting,28,2006,Australia,Sri Lanka
MEK Hussey,36,2006,Australia,Bangladesh
RT Ponting,14,2006,Australia,Bangladesh
MJ Clarke,16,2006,Australia,Bangladesh
RT Ponting,5,2006,Australia,Bangladesh
MEK Hussey,18,2006,Australia,Bangladesh
MJ Clarke,54,2006,Australia,Bangladesh
SR Watson,22,2006,Australia,South Africa
MEK Hussey,56,2006,Australia,South Africa
MJ Clarke,53,2006,Australia,South Africa
SR Watson,27,2006,Australia,South Africa
MJ Clarke,1,2006,Australia,South Africa
MEK Hussey,22,2006,Australia,South Africa
SR Watson,4,2006,Australia,South Africa
MEK Hussey,22,2006,Australia,South Africa
MJ Clarke,25,2006,Australia,South Africa
RT Ponting,62,2006,Australia,South Africa
MJ Clarke,7,2006,Australia,South Africa
RT Ponting,7,2006,Australia,South Africa
MEK Hussey,19,2006,Australia,South Africa
MEK Hussey,81,2006,Australia,South Africa
RT Ponting,164,2006,Australia,South Africa
SR Watson,18,2007,Australia,Scotland
MEK Hussey,4,2007,Australia,Scotland
MJ Clarke,15,2007,Australia,Scotland
RT Ponting,113,2007,Australia,Scotland
SR Watson,12,2007,Australia,Netherlands
MEK Hussey,2,2007,Australia,Netherlands
MJ Clarke,93,2007,Australia,Netherlands
RT Ponting,23,2007,Australia,Netherlands
SR Watson,14,2007,Australia,South Africa
